epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.4018134307861327,0.21,1.3863982439041138,0.25
2,1.3884145545959472,0.29,1.3869016885757446,0.25
3,1.3877395915985107,0.27,1.3868765592575074,0.15
4,1.3883648920059204,0.28,1.3864149093627929,0.25
5,1.3890169763565063,0.26,1.386319875717163,0.25
6,1.387453317642212,0.24,1.386367416381836,0.25
7,1.3874518728256227,0.25,1.386542272567749,0.25
8,1.3891442584991456,0.17,1.3864049434661865,0.25
9,1.3858935260772705,0.27,1.3861493825912476,0.35
10,1.3879955101013184,0.22,1.386094832420349,0.25
11,1.3879347896575929,0.22,1.3857423067092896,0.3
12,1.3870421743392944,0.25,1.385753345489502,0.25
13,1.386775426864624,0.18,1.383637046813965,0.375
14,1.3738850498199462,0.27,1.3926665544509889,0.25
15,1.3938663578033448,0.25,1.385272479057312,0.25
16,1.3894541931152344,0.21,1.384348702430725,0.3
17,1.3794333219528199,0.29,1.3797408103942872,0.3
18,1.3789951515197754,0.33,1.3832759380340576,0.225
19,1.3850416231155396,0.3,1.3849019765853883,0.2
20,1.3467479705810548,0.3,1.3876870155334473,0.25
