epoch,phase,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy
1,fc_only,0.001,1.2380380308082464,0.4604715672676838,0.9770024749967787,0.6993464052287581
2,fc_only,0.001,0.9429016852345777,0.6574202496532594,0.9521325959099664,0.6209150326797386
3,fc_only,0.001,0.8574504690262877,0.7073509015256588,0.87676861706902,0.6078431372549019
4,fine_tuning,5e-05,0.6462634734902402,0.8044382801664355,0.44399160886901656,0.9019607843137255
5,fine_tuning,5e-05,0.43381165391694493,0.9112343966712899,0.447917836943483,0.9150326797385621
6,fine_tuning,5e-05,0.407369599759,0.926490984743412,0.3944761008998148,0.9477124183006536
7,fine_tuning,5e-05,0.3918050616855595,0.926490984743412,0.41252434984141706,0.934640522875817
8,fine_tuning,5e-05,0.3788137589678189,0.9348127600554785,0.3839817078284968,0.954248366013072
9,fine_tuning,5e-05,0.3495628010383426,0.957004160887656,0.38581227399165335,0.9477124183006536
10,fine_tuning,5e-05,0.37007018646816936,0.9375866851595007,0.4219074617413914,0.9411764705882353
11,fine_tuning,5e-05,0.3154312562347285,0.9653259361997226,0.37714869231959575,0.954248366013072
12,fine_tuning,5e-05,0.33870485057116545,0.9597780859916782,0.3805146840662738,0.9477124183006536
13,fine_tuning,5e-05,0.3242712546651472,0.9722607489597781,0.37401725887473114,0.954248366013072
14,fine_tuning,5e-05,0.30624541677482914,0.9667128987517337,0.3693808845055649,0.954248366013072
15,fine_tuning,5e-05,0.32491829639995645,0.9583911234396671,0.4050694871572108,0.9411764705882353
16,fine_tuning,5e-05,0.29305169172326667,0.984743411927878,0.381000263239044,0.954248366013072
17,fine_tuning,5e-05,0.2862179323968874,0.984743411927878,0.3543689840174968,0.954248366013072
18,fine_tuning,5e-05,0.29265454456974827,0.986130374479889,0.3989625718274148,0.9477124183006536
19,fine_tuning,5e-05,0.28053698675311717,0.984743411927878,0.36756176827779785,0.9477124183006536
20,fine_tuning,5e-05,0.30303348119315093,0.9736477115117892,0.36081253703123606,0.954248366013072
